MemberNo,FirstName,LastName,Email,Mobile,BirthDate,JoinedDate,LoyaltyTier,BalancePoints,SignedUpProperty,MostPlayedProperty,LastVisitDate,Locale,State,MonthlySpend,DiscountOffer,Current_CST_Time,Current_AEST_Time
1144,Trevor,Lee,xehusav_ifa14@example.com,61400000143,08/09/1995,15/05/2024,Diamond,48362,MGM Grand,Aria,23/06/2024,en-US,TX,5089,,03/08/2024,04/08/2024
1145,Natalie,Nolan,cemocal-oro69@example.com,61400000144,30/12/1978,15/01/2020,Silver,1231,Aria,MGM Grand,22/06/2024,en-US,NV,5121,,03/08/2024,04/08/2024
1146,Bernadette,Lawrence,roxo_salizi28@example.com,61400000145,22/01/1987,22/11/2019,Gold,45000,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,5153,,03/08/2024,04/08/2024
1147,Tim,Greene,lab-axiyeru21@example.com,61400000146,18/11/1992,19/05/2018,Silver,346,Aria,Aria,20/06/2024,en-US,CA,5185,,03/08/2024,04/08/2024
1148,Sean,Wilson,hovodil_usi10@example.com,61400000147,07/02/1983,11/03/2021,Diamond,3543,Bellagio,Bellagio,19/06/2024,en-US,NV,5217,,03/08/2024,04/08/2024
1149,Joan,Coleman,pogolix_ace56@example.com,61400000148,15/04/1979,25/07/2017,Gold,700,MGM Grand,Bellagio,18/06/2024,en-US,TX,5249,,03/08/2024,04/08/2024
1150,Penelope,Sharp,kunidit_uli54@example.com,61400000149,25/05/1981,14/09/2020,Platinum,1500,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,5282,,03/08/2024,04/08/2024
1151,Harry,Ellison,zidi_wiyabe79@example.com,61400000150,23/04/1985,05/06/2019,Gold,840,Casino Royale,Casino Royale,25/06/2024,en-US,NV,5314,,03/08/2024,04/08/2024
1152,Hannah,Dowd,hupeb_ixaso67@example.com,61400000151,12/08/1990,01/08/2021,Platinum,4679,Bellagio,Bellagio,26/06/2024,en-US,CA,5346,,03/08/2024,04/08/2024
1153,Paul,Dowd,hafukec-acu3@example.com,61400000152,14/03/1982,10/12/2016,Bronze,3241,Venetian,Venetian,24/06/2024,en-US,FL,5378,,03/08/2024,04/08/2024
1154,Ruth,Pullman,wucaz_ufoki66@example.com,61400000153,08/09/1995,08/04/2018,Diamond,1231,MGM Grand,Aria,23/06/2024,en-US,TX,5410,,03/08/2024,04/08/2024
1155,Jacob,Cornish,gicit-iluho22@example.com,61400000154,30/12/1978,10/01/2024,Silver,45000,Aria,MGM Grand,22/06/2024,en-US,NV,5442,,03/08/2024,04/08/2024
1156,Olivia,Blake,xidoj-adiso32@example.com,61400000155,22/01/1987,15/05/2024,Gold,346,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,5474,,03/08/2024,04/08/2024
1157,Colin,Baker,yecahu-govo99@example.com,61400000156,18/11/1992,15/01/2020,Silver,3543,Aria,Aria,20/06/2024,en-US,CA,5506,,03/08/2024,04/08/2024
1158,Robert,Davidson,doba_codiyu34@example.com,61400000157,07/02/1983,22/11/2019,Diamond,700,Bellagio,Bellagio,19/06/2024,en-US,NV,5538,,03/08/2024,04/08/2024
1159,Robert,North,but-evifixi41@example.com,61400000158,15/04/1979,19/05/2018,Gold,561,MGM Grand,Bellagio,18/06/2024,en-US,TX,5571,,03/08/2024,04/08/2024
1160,Alan,Martin,jurix-ivubo43@example.com,61400000159,25/05/1981,11/03/2021,Platinum,840,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,5603,,03/08/2024,04/08/2024
1161,Olivia,Wright,vuco-voredu76@example.com,61400000160,23/04/1985,25/07/2017,Gold,4679,Casino Royale,Casino Royale,25/06/2024,en-US,NV,5635,,03/08/2024,04/08/2024
1162,Christian,Sutherland,dep-uxakaca81@example.com,61400000161,12/08/1990,14/09/2020,Platinum,50112,Bellagio,Bellagio,26/06/2024,en-US,CA,5667,,03/08/2024,04/08/2024
1163,Thomas,Sutherland,napet_ikida88@example.com,61400000162,14/03/1982,05/06/2019,Bronze,54,Venetian,Venetian,24/06/2024,en-US,FL,5699,,03/08/2024,04/08/2024
1164,Julia,Lee,mez_icomiri83@example.com,61400000163,08/09/1995,01/08/2021,Diamond,50307,MGM Grand,Aria,23/06/2024,en-US,TX,5731,,03/08/2024,04/08/2024
1165,Stephen,Piper,tuto-fobavi75@example.com,61400000164,30/12/1978,10/12/2016,Silver,50404,Aria,MGM Grand,22/06/2024,en-US,NV,5763,,03/08/2024,04/08/2024
1166,Faith,Russell,lazo-wesula90@example.com,61400000165,22/01/1987,08/04/2018,Gold,50501,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,5795,,03/08/2024,04/08/2024
1167,Christian,Lawrence,tif-ajoyozo14@example.com,61400000166,18/11/1992,10/01/2024,Silver,1231,Aria,Aria,20/06/2024,en-US,CA,5828,,03/08/2024,04/08/2024
1168,Michelle,Bailey,wijunis-ujo77@example.com,61400000167,07/02/1983,15/05/2024,Diamond,45000,Bellagio,Bellagio,19/06/2024,en-US,NV,5860,,03/08/2024,04/08/2024
1169,Boris,Wright,capax_odake15@example.com,61400000168,15/04/1979,15/01/2020,Gold,346,MGM Grand,Bellagio,18/06/2024,en-US,TX,5892,,03/08/2024,04/08/2024
1170,Benjamin,Campbell,zoheyor-utu33@example.com,61400000169,25/05/1981,22/11/2019,Platinum,3543,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,5924,,03/08/2024,04/08/2024
1171,Max,Carr,celiw_ejego12@example.com,61400000170,23/04/1985,19/05/2018,Gold,700,Casino Royale,Casino Royale,25/06/2024,en-US,NV,5956,,03/08/2024,04/08/2024
1172,Yvonne,Bell,vavecaj_uca37@example.com,61400000171,12/08/1990,11/03/2021,Platinum,1500,Bellagio,Bellagio,26/06/2024,en-US,CA,5988,,03/08/2024,04/08/2024
1173,Theresa,Mathis,poye-dajevi4@example.com,61400000172,14/03/1982,25/07/2017,Bronze,840,Venetian,Venetian,24/06/2024,en-US,FL,6020,,03/08/2024,04/08/2024
1174,Joanne,Hunter,gosacu-tihu30@example.com,61400000173,08/09/1995,14/09/2020,Diamond,4679,MGM Grand,Aria,23/06/2024,en-US,TX,6052,,03/08/2024,04/08/2024
1175,Sebastian,Roberts,gezure_jezi72@example.com,61400000174,30/12/1978,05/06/2019,Silver,3241,Aria,MGM Grand,22/06/2024,en-US,NV,6085,,03/08/2024,04/08/2024
1176,Kimberly,Sanderson,ruf_azegaha56@example.com,61400000175,22/01/1987,01/08/2021,Gold,1231,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,6117,,03/08/2024,04/08/2024
1177,Carl,Grant,wuxe_wuwixe84@example.com,61400000176,18/11/1992,10/12/2016,Silver,45000,Aria,Aria,20/06/2024,en-US,CA,6149,,03/08/2024,04/08/2024
1178,Lillian,Parr,fokoc-ivubi86@example.com,61400000177,07/02/1983,08/04/2018,Diamond,346,Bellagio,Bellagio,19/06/2024,en-US,NV,6181,,03/08/2024,04/08/2024
1179,Wanda,Peake,mamey-ibico4@example.com,61400000178,15/04/1979,10/01/2024,Gold,3543,MGM Grand,Bellagio,18/06/2024,en-US,TX,6213,,03/08/2024,04/08/2024
1180,Christian,Wright,vujalu_huba30@example.com,61400000179,25/05/1981,15/05/2024,Platinum,700,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,6245,,03/08/2024,04/08/2024
1181,Caroline,Powell,lef-obuwafe1@example.com,61400000180,23/04/1985,15/01/2020,Gold,561,Casino Royale,Casino Royale,25/06/2024,en-US,NV,6277,,03/08/2024,04/08/2024
1182,Maria,Hudson,zafipa-gega44@example.com,61400000181,12/08/1990,22/11/2019,Platinum,840,Bellagio,Bellagio,26/06/2024,en-US,CA,6309,,03/08/2024,04/08/2024
1183,Amy,Grant,ceyowol_ogi75@example.com,61400000182,14/03/1982,19/05/2018,Bronze,4679,Venetian,Venetian,24/06/2024,en-US,FL,6342,,03/08/2024,04/08/2024
1184,Robert,Wallace,zuze_macofa28@example.com,61400000183,08/09/1995,11/03/2021,Diamond,52251,MGM Grand,Aria,23/06/2024,en-US,TX,6374,,03/08/2024,04/08/2024
1185,Harry,Miller,tek-eyifede20@example.com,61400000184,30/12/1978,25/07/2017,Silver,52348,Aria,MGM Grand,22/06/2024,en-US,NV,6406,,03/08/2024,04/08/2024
1186,Lauren,Allan,wok_ejilara66@example.com,61400000185,22/01/1987,14/09/2020,Gold,52446,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,6438,,03/08/2024,04/08/2024
1187,Sam,Poole,rarofe_yako38@example.com,61400000186,18/11/1992,05/06/2019,Silver,52543,Aria,Aria,20/06/2024,en-US,CA,6470,,03/08/2024,04/08/2024
1188,Sebastian,Cornish,bekal-orowa8@example.com,61400000187,07/02/1983,01/08/2021,Diamond,345,Bellagio,Bellagio,19/06/2024,en-US,NV,6502,,03/08/2024,04/08/2024
1189,Nathan,Robertson,tili_bugeta2@example.com,61400000188,15/04/1979,10/12/2016,Gold,52737,MGM Grand,Bellagio,18/06/2024,en-US,TX,6534,,03/08/2024,04/08/2024
1190,Lisa,Grant,bohey_efame71@example.com,61400000189,25/05/1981,08/04/2018,Platinum,52834,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,6566,,03/08/2024,04/08/2024
1191,Isaac,Allan,xejefaf_aso10@example.com,61400000190,23/04/1985,10/01/2024,Gold,52932,Casino Royale,Casino Royale,25/06/2024,en-US,NV,6598,,03/08/2024,04/08/2024
1192,Brian,Berry,ruva-meniho14@example.com,61400000191,12/08/1990,15/05/2024,Platinum,53029,Bellagio,Bellagio,26/06/2024,en-US,CA,6631,,03/08/2024,04/08/2024
1193,Abigail,Miller,mayen_uxizu25@example.com,61400000192,14/03/1982,15/01/2020,Bronze,451,Venetian,Venetian,24/06/2024,en-US,FL,6663,,03/08/2024,04/08/2024
1194,David,McLean,yob_ovewowo24@example.com,61400000193,08/09/1995,22/11/2019,Diamond,53223,MGM Grand,Aria,23/06/2024,en-US,TX,6695,,03/08/2024,04/08/2024
1195,Irene,Hardacre,zezac-aruka4@example.com,61400000194,30/12/1978,19/05/2018,Silver,53321,Aria,MGM Grand,22/06/2024,en-US,NV,6727,,03/08/2024,04/08/2024
1196,Steven,Skinner,seri_sulare48@example.com,61400000195,22/01/1987,11/03/2021,Gold,644,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,6759,,03/08/2024,04/08/2024
1197,Theresa,Bailey,toveku_wizu99@example.com,61400000196,18/11/1992,25/07/2017,Silver,343,Aria,Aria,20/06/2024,en-US,CA,6791,,03/08/2024,04/08/2024
1198,Lauren,Piper,luxe_zayuhe11@example.com,61400000197,07/02/1983,14/09/2020,Diamond,53612,Bellagio,Bellagio,19/06/2024,en-US,NV,6823,,03/08/2024,04/08/2024
1199,Ryan,Nolan,mare_nusafe3@example.com,61400000198,15/04/1979,05/06/2019,Gold,53709,MGM Grand,Bellagio,18/06/2024,en-US,TX,6855,,03/08/2024,04/08/2024
1200,Luke,Lawrence,faras-igosu61@example.com,61400000199,25/05/1981,01/08/2021,Platinum,34,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,6888,,03/08/2024,04/08/2024
1201,Bernadette,Terry,mev_osexiza19@example.com,61400000200,23/04/1985,10/12/2016,Gold,53904,Casino Royale,Casino Royale,25/06/2024,en-US,NV,6920,,03/08/2024,04/08/2024
1202,Angela,Terry,monazuj-ava41@example.com,61400000201,12/08/1990,08/04/2018,Platinum,54001,Bellagio,Bellagio,26/06/2024,en-US,CA,6952,,03/08/2024,04/08/2024
1203,Stewart,Hemmings,kep-ipobepa21@example.com,61400000202,14/03/1982,10/01/2024,Bronze,331,Venetian,Venetian,24/06/2024,en-US,FL,6984,,03/08/2024,04/08/2024
1204,Carolyn,Duncan,wuxuyo-lobu74@example.com,61400000203,08/09/1995,15/05/2024,Diamond,346,MGM Grand,Aria,23/06/2024,en-US,TX,7016,,03/08/2024,04/08/2024
1205,Piers,McGrath,daziza-nica79@example.com,61400000204,30/12/1978,15/01/2020,Silver,54293,Aria,MGM Grand,22/06/2024,en-US,NV,7048,,03/08/2024,04/08/2024
1206,Sarah,Davies,cuseb-aparu55@example.com,61400000205,22/01/1987,22/11/2019,Gold,54390,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,7080,,03/08/2024,04/08/2024
1207,Felicity,Gibson,fayera_becu74@example.com,61400000206,18/11/1992,19/05/2018,Silver,54487,Aria,Aria,20/06/2024,en-US,CA,7112,,03/08/2024,04/08/2024
1208,Anne,Hart,foj-uyayebi70@example.com,61400000207,07/02/1983,11/03/2021,Diamond,463,Bellagio,Bellagio,19/06/2024,en-US,NV,7145,,03/08/2024,04/08/2024
1209,Joe,Wilson,xucag-uzopi34@example.com,61400000208,15/04/1979,25/07/2017,Gold,54682,MGM Grand,Bellagio,18/06/2024,en-US,TX,7177,,03/08/2024,04/08/2024
1210,Julian,Howard,fis_aberiva49@example.com,61400000209,25/05/1981,14/09/2020,Platinum,463,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,7209,,03/08/2024,04/08/2024
1211,Maria,Churchill,wozati_gami28@example.com,61400000210,23/04/1985,05/06/2019,Gold,54876,Casino Royale,Casino Royale,25/06/2024,en-US,NV,7241,,03/08/2024,04/08/2024
1212,Olivia,Smith,muto_xemete33@example.com,61400000211,12/08/1990,01/08/2021,Platinum,34012,Bellagio,Bellagio,26/06/2024,en-US,CA,7273,,03/08/2024,04/08/2024
1213,Maria,Baker,katet-uvovi85@example.com,61400000212,14/03/1982,10/12/2016,Bronze,34153,Venetian,Venetian,24/06/2024,en-US,FL,7305,,03/08/2024,04/08/2024
1214,Grace,Hart,fus_awefeya93@example.com,61400000213,08/09/1995,08/04/2018,Diamond,34294,MGM Grand,Aria,23/06/2024,en-US,TX,7337,,03/08/2024,04/08/2024
1215,Samantha,Dickens,dido-xefike84@example.com,61400000214,30/12/1978,10/01/2024,Silver,34435,Aria,MGM Grand,22/06/2024,en-US,NV,7369,,03/08/2024,04/08/2024
1216,Adam,Morgan,zateca-bono26@example.com,61400000215,22/01/1987,15/05/2024,Gold,34576,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,7402,,03/08/2024,04/08/2024
1217,Luke,Howard,masac_aheka49@example.com,61400000216,18/11/1992,15/01/2020,Silver,34717,Aria,Aria,20/06/2024,en-US,CA,7434,,03/08/2024,04/08/2024
1218,Melanie,White,habe_pocala84@example.com,61400000217,07/02/1983,22/11/2019,Diamond,34858,Bellagio,Bellagio,19/06/2024,en-US,NV,7466,,03/08/2024,04/08/2024
1219,Warren,Glover,humin_aguku39@example.com,61400000218,15/04/1979,19/05/2018,Gold,34999,MGM Grand,Bellagio,18/06/2024,en-US,TX,7498,,03/08/2024,04/08/2024
1220,Joe,May,fonav_unuro68@example.com,61400000219,25/05/1981,11/03/2021,Platinum,35140,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,7530,,03/08/2024,04/08/2024
1221,Victor,Mackenzie,pemebut-ite59@example.com,61400000220,23/04/1985,25/07/2017,Gold,35282,Casino Royale,Casino Royale,25/06/2024,en-US,NV,7562,,03/08/2024,04/08/2024
1222,Yvonne,Baker,hek_oyuwinu19@example.com,61400000221,12/08/1990,14/09/2020,Platinum,35423,Bellagio,Bellagio,26/06/2024,en-US,CA,7594,,03/08/2024,04/08/2024
1223,Stewart,Hill,muse-cinahe10@example.com,61400000222,14/03/1982,05/06/2019,Bronze,35564,Venetian,Venetian,24/06/2024,en-US,FL,7626,,03/08/2024,04/08/2024
1224,Hannah,Kelly,celo-wegala51@example.com,61400000223,08/09/1995,01/08/2021,Diamond,35705,MGM Grand,Aria,23/06/2024,en-US,TX,7658,,03/08/2024,04/08/2024
1225,Lily,McDonald,suneh-uhoku43@example.com,61400000224,30/12/1978,10/12/2016,Silver,35846,Aria,MGM Grand,22/06/2024,en-US,NV,7691,,03/08/2024,04/08/2024
1226,Heather,Marshall,cokuwer_exi81@example.com,61400000225,22/01/1987,08/04/2018,Gold,35987,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,7723,,03/08/2024,04/08/2024
1227,Christian,Carr,taceg_otoji37@example.com,61400000226,18/11/1992,10/01/2024,Silver,36128,Aria,Aria,20/06/2024,en-US,CA,7755,,03/08/2024,04/08/2024
1228,Anne,Miller,gub-usoyija24@example.com,61400000227,07/02/1983,15/05/2024,Diamond,36269,Bellagio,Bellagio,19/06/2024,en-US,NV,7787,,03/08/2024,04/08/2024
1229,Kimberly,Terry,mur-osuveta95@example.com,61400000228,15/04/1979,15/01/2020,Gold,36410,MGM Grand,Bellagio,18/06/2024,en-US,TX,7819,,03/08/2024,04/08/2024
1230,Anna,Allan,dusijiz_epo77@example.com,61400000229,25/05/1981,22/11/2019,Platinum,36551,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,7851,,03/08/2024,04/08/2024
1231,Felicity,Anderson,xonop-acezo29@example.com,61400000230,23/04/1985,19/05/2018,Gold,36693,Casino Royale,Casino Royale,25/06/2024,en-US,NV,7883,,03/08/2024,04/08/2024
1232,Stephanie,Brown,denuna_vowa35@example.com,61400000231,12/08/1990,11/03/2021,Platinum,36834,Bellagio,Bellagio,26/06/2024,en-US,CA,7915,,03/08/2024,04/08/2024
1233,Pippa,Fisher,sicip_akayo97@example.com,61400000232,14/03/1982,25/07/2017,Bronze,36975,Venetian,Venetian,24/06/2024,en-US,FL,7948,,03/08/2024,04/08/2024
1234,Audrey,King,koyijad-ulu80@example.com,61400000233,08/09/1995,14/09/2020,Diamond,37116,MGM Grand,Aria,23/06/2024,en-US,TX,7980,,03/08/2024,04/08/2024
1235,Evan,Edmunds,sujej-ohiju17@example.com,61400000234,30/12/1978,05/06/2019,Silver,37257,Aria,MGM Grand,22/06/2024,en-US,NV,8012,,03/08/2024,04/08/2024
1236,Lily,Campbell,noxiz-ucoji26@example.com,61400000235,22/01/1987,01/08/2021,Gold,37398,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,8044,,03/08/2024,04/08/2024
1237,Deirdre,Avery,kus_uxumeci19@example.com,61400000236,18/11/1992,10/12/2016,Silver,37539,Aria,Aria,20/06/2024,en-US,CA,8076,,03/08/2024,04/08/2024
1238,Jan,Churchill,yan_izanida76@example.com,61400000237,07/02/1983,08/04/2018,Diamond,37680,Bellagio,Bellagio,19/06/2024,en-US,NV,8108,,03/08/2024,04/08/2024
1239,Emily,Gill,xiga-galuwu17@example.com,61400000238,15/04/1979,10/01/2024,Gold,37821,MGM Grand,Bellagio,18/06/2024,en-US,TX,8140,,03/08/2024,04/08/2024
1240,Carol,Mathis,kusewi_jelo23@example.com,61400000239,25/05/1981,15/05/2024,Platinum,37962,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,8172,,03/08/2024,04/08/2024
1241,Gavin,Smith,cuvuyug-awu10@example.com,61400000240,23/04/1985,15/01/2020,Gold,38104,Casino Royale,Casino Royale,25/06/2024,en-US,NV,8205,,03/08/2024,04/08/2024
1242,Charles,Black,husohef_isu96@example.com,61400000241,12/08/1990,22/11/2019,Platinum,38245,Bellagio,Bellagio,26/06/2024,en-US,CA,8237,,03/08/2024,04/08/2024
1243,Maria,Morrison,verex-exila16@example.com,61400000242,14/03/1982,19/05/2018,Bronze,38386,Venetian,Venetian,24/06/2024,en-US,FL,8269,,03/08/2024,04/08/2024
1244,Rachel,Rampling,dijuka-hoga86@example.com,61400000243,08/09/1995,11/03/2021,Diamond,38527,MGM Grand,Aria,23/06/2024,en-US,TX,8301,,03/08/2024,04/08/2024
1245,Kimberly,Grant,zop-awotavo31@example.com,61400000244,30/12/1978,25/07/2017,Silver,38668,Aria,MGM Grand,22/06/2024,en-US,NV,8333,,03/08/2024,04/08/2024
1246,Evan,Dickens,hoke_lituja39@example.com,61400000245,22/01/1987,14/09/2020,Gold,38809,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,8365,,03/08/2024,04/08/2024
1247,Alexander,May,pomuv_oxibu28@example.com,61400000246,18/11/1992,05/06/2019,Silver,38950,Aria,Aria,20/06/2024,en-US,CA,8397,,03/08/2024,04/08/2024
1248,Lillian,Short,doso-zopazu95@example.com,61400000247,07/02/1983,01/08/2021,Diamond,39091,Bellagio,Bellagio,19/06/2024,en-US,NV,8429,,03/08/2024,04/08/2024
1249,Amy,Young,gij-elagaca71@example.com,61400000248,15/04/1979,10/12/2016,Gold,39232,MGM Grand,Bellagio,18/06/2024,en-US,TX,8462,,03/08/2024,04/08/2024
1250,Gordon,Hemmings,rokur_epafa22@example.com,61400000249,25/05/1981,08/04/2018,Platinum,39373,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,8494,,03/08/2024,04/08/2024
1251,Caroline,King,fedojin_ohi83@example.com,61400000250,23/04/1985,10/01/2024,Gold,39515,Casino Royale,Casino Royale,25/06/2024,en-US,NV,8526,,03/08/2024,04/08/2024
1252,Paul,Terry,lig_avorexo64@example.com,61400000251,12/08/1990,15/05/2024,Platinum,39656,Bellagio,Bellagio,26/06/2024,en-US,CA,8558,,03/08/2024,04/08/2024
1253,Carol,Walker,remomij-eze36@example.com,61400000252,14/03/1982,15/01/2020,Bronze,39797,Venetian,Venetian,24/06/2024,en-US,FL,8590,,03/08/2024,04/08/2024
1254,Heather,Buckland,macoj-erevo33@example.com,61400000253,08/09/1995,22/11/2019,Diamond,39938,MGM Grand,Aria,23/06/2024,en-US,TX,8622,,03/08/2024,04/08/2024
1255,Edward,Brown,rigo-nukedi67@example.com,61400000254,30/12/1978,19/05/2018,Silver,40079,Aria,MGM Grand,22/06/2024,en-US,NV,8654,,03/08/2024,04/08/2024
1256,Joan,Parr,tof-olavano95@example.com,61400000255,22/01/1987,11/03/2021,Gold,40220,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,8686,,03/08/2024,04/08/2024
1257,Cameron,Piper,regize_weba84@example.com,61400000256,18/11/1992,25/07/2017,Silver,40361,Aria,Aria,20/06/2024,en-US,CA,8718,,03/08/2024,04/08/2024
1258,James,Mackenzie,pele-cecini68@example.com,61400000257,07/02/1983,14/09/2020,Diamond,40502,Bellagio,Bellagio,19/06/2024,en-US,NV,8751,,03/08/2024,04/08/2024
1259,Isaac,Gray,jati-sicudi10@example.com,61400000258,15/04/1979,05/06/2019,Gold,40643,MGM Grand,Bellagio,18/06/2024,en-US,TX,8783,,03/08/2024,04/08/2024
1260,Molly,Clark,cavuxol_ika95@example.com,61400000259,25/05/1981,01/08/2021,Platinum,40784,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,8815,,03/08/2024,04/08/2024
1261,Lucas,Hamilton,pam-ihojuru44@example.com,61400000260,23/04/1985,10/12/2016,Gold,40925,Casino Royale,Casino Royale,25/06/2024,en-US,NV,8847,,03/08/2024,04/08/2024
1262,Joanne,Bell,lehac_atuxe25@example.com,61400000261,12/08/1990,08/04/2018,Platinum,41067,Bellagio,Bellagio,26/06/2024,en-US,CA,8879,,03/08/2024,04/08/2024
1263,Una,Henderson,zuzajeh_eto83@example.com,61400000262,14/03/1982,10/01/2024,Bronze,41208,Venetian,Venetian,24/06/2024,en-US,FL,8911,,03/08/2024,04/08/2024
1264,Felicity,Miller,gidup_eyotu42@example.com,61400000263,08/09/1995,15/05/2024,Diamond,41349,MGM Grand,Aria,23/06/2024,en-US,TX,8943,,03/08/2024,04/08/2024
1265,Tim,Edmunds,xekika-xifu96@example.com,61400000264,30/12/1978,15/01/2020,Silver,41490,Aria,MGM Grand,22/06/2024,en-US,NV,8975,,03/08/2024,04/08/2024
1266,Jasmine,Baker,nicik_irune81@example.com,61400000265,22/01/1987,22/11/2019,Gold,41631,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,9008,,03/08/2024,04/08/2024
1267,Adam,Manning,conawez-owo30@example.com,61400000266,18/11/1992,19/05/2018,Silver,41772,Aria,Aria,20/06/2024,en-US,CA,9040,,03/08/2024,04/08/2024
1268,Dan,Avery,hax-ivihube7@example.com,61400000267,07/02/1983,11/03/2021,Diamond,41913,Bellagio,Bellagio,19/06/2024,en-US,NV,9072,,03/08/2024,04/08/2024
1269,Pippa,Cameron,rakay-ezozu48@example.com,61400000268,15/04/1979,25/07/2017,Gold,42054,MGM Grand,Bellagio,18/06/2024,en-US,TX,9104,,03/08/2024,04/08/2024
1270,Brian,Parr,kifofit-epu67@example.com,61400000269,25/05/1981,14/09/2020,Platinum,42195,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,9136,,03/08/2024,04/08/2024
1271,Amelia,King,pamejo_muti80@example.com,61400000270,23/04/1985,05/06/2019,Gold,42336,Casino Royale,Casino Royale,25/06/2024,en-US,NV,9168,,03/08/2024,04/08/2024
1272,Ella,Davidson,sisehoj-edo97@example.com,61400000271,12/08/1990,01/08/2021,Platinum,42478,Bellagio,Bellagio,26/06/2024,en-US,CA,9200,,03/08/2024,04/08/2024
1273,Bernadette,Sutherland,rive-tosata45@example.com,61400000272,14/03/1982,10/12/2016,Bronze,42619,Venetian,Venetian,24/06/2024,en-US,FL,9232,,03/08/2024,04/08/2024
1274,Ruth,Hemmings,hovijo-nelu19@example.com,61400000273,08/09/1995,08/04/2018,Diamond,42760,MGM Grand,Aria,23/06/2024,en-US,TX,9265,,03/08/2024,04/08/2024
1275,Sophie,McGrath,tir_imaneru33@example.com,61400000274,30/12/1978,10/01/2024,Silver,42901,Aria,MGM Grand,22/06/2024,en-US,NV,9297,,03/08/2024,04/08/2024
1276,Paul,Mitchell,kipufe_gofu9@example.com,61400000275,22/01/1987,15/05/2024,Gold,43042,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,9329,,03/08/2024,04/08/2024
1277,Dan,Parr,fati_yejoko38@example.com,61400000276,18/11/1992,15/01/2020,Silver,43183,Aria,Aria,20/06/2024,en-US,CA,9361,,03/08/2024,04/08/2024
1278,Ruth,Blake,savucix_ora97@example.com,61400000277,07/02/1983,22/11/2019,Diamond,43324,Bellagio,Bellagio,19/06/2024,en-US,NV,9393,,03/08/2024,04/08/2024
1279,Olivia,MacLeod,kigogo_gase54@example.com,61400000278,15/04/1979,19/05/2018,Gold,43465,MGM Grand,Bellagio,18/06/2024,en-US,TX,9425,,03/08/2024,04/08/2024
1280,Dominic,Peake,suxewe-zexa60@example.com,61400000279,25/05/1981,11/03/2021,Platinum,43606,Casino Royale,Caesars Palace,17/06/2024,en-US,FL,9457,,03/08/2024,04/08/2024
1281,Rebecca,MacDonald,basud-iriba30@example.com,61400000280,23/04/1985,25/07/2017,Gold,43747,Casino Royale,Casino Royale,25/06/2024,en-US,NV,9489,,03/08/2024,04/08/2024
1282,Warren,Black,xod_oxucobe4@example.com,61400000281,12/08/1990,14/09/2020,Platinum,43889,Bellagio,Bellagio,26/06/2024,en-US,CA,9522,,03/08/2024,04/08/2024
1283,Vanessa,Morgan,somayi-duvi16@example.com,61400000282,14/03/1982,05/06/2019,Bronze,44030,Venetian,Venetian,24/06/2024,en-US,FL,9554,,03/08/2024,04/08/2024
1284,Dominic,Young,metu-wasace1@example.com,61400000283,08/09/1995,01/08/2021,Diamond,44171,MGM Grand,Aria,23/06/2024,en-US,TX,9586,,03/08/2024,04/08/2024
1285,Bernadette,Roberts,nadohog_aje3@example.com,61400000284,30/12/1978,10/12/2016,Silver,44312,Aria,MGM Grand,22/06/2024,en-US,NV,9618,,03/08/2024,04/08/2024
1286,Adam,Mitchell,zizup-abime95@example.com,61400000285,22/01/1987,08/04/2018,Gold,44453,Caesars Palace,Caesars Palace,21/06/2024,en-US,AZ,9650,,03/08/2024,04/08/2024
1287,Christian,Nolan,kijiraz-epu28@example.com,61400000286,18/11/1992,10/01/2024,Silver,44594,Aria,Aria,20/06/2024,en-US,CA,9682,,03/08/2024,04/08/2024
